,Dataset,Hidden Layer,Learning Rate,Neurons,Dropout,Neighbors,Sampling,G-Means
193,PC3,4.0,0.0014547311975273934,15.0,0.1,12.0,0.94,0.7425740745256566
194,PC3,4.0,0.008158174135752348,16.0,0.21,9.0,0.66,0.7393761397305264
195,PC3,4.0,0.00585968125674808,16.0,0.18,10.0,0.58,0.7280236760617088
196,PC3,1.0,0.002132078655894043,44.0,0.39,17.0,0.85,0.7306845984463857
197,PC3,4.0,0.006251460855254222,15.0,0.11,8.0,0.99,0.7504030702023924
198,PC3,1.0,0.009747193738098764,11.0,0.1,7.0,1.0,0.7469810810171883
199,PC3,1.0,0.01,43.0,0.1,16.0,1.0,0.7516182986425544
200,PC4,4.0,0.007587945476302646,8.0,0.29,12.0,0.34,0.841932206224496
201,PC4,4.0,0.00641003510568888,2.0,0.13,14.0,0.98,0.8319781866772231
202,PC4,1.0,0.002636424704863906,15.0,0.52,4.0,0.63,0.7967828200597633
203,PC4,2.0,0.006506676052501416,15.0,0.32,3.0,0.51,0.8174705123701456
204,PC4,4.0,0.002797064039425238,30.0,0.33,10.0,0.26,0.7599942095899855
205,PC4,1.0,0.0015854643368675156,48.0,0.4,19.0,0.85,0.8301367775691175
206,PC4,1.0,0.007158097238609413,6.0,0.25,9.0,0.61,0.8185467544484317
207,PC4,4.0,0.0033290198344001526,16.0,0.12,13.0,0.63,0.8049719644996681
208,PC4,1.0,0.009726261649881027,47.0,0.37,15.0,0.92,0.8275490653357616
209,PC4,4.0,0.0017964325184672756,3.0,0.4,4.0,0.48,0.4403622496699502
210,PC4,2.0,0.008458637582367364,14.0,0.29,7.0,0.64,0.8396131197441238
211,PC4,4.0,0.0016709557931179377,38.0,0.17,19.0,0.38,0.8235912755308998
212,PC4,4.0,0.007361716094628555,38.0,0.1,14.0,0.28,0.8154949204654439
213,PC4,1.0,0.008767930832880343,17.0,0.28,12.0,0.27,0.7444852574573324
214,PC4,2.0,0.007566455605042577,44.0,0.26,13.0,0.59,0.8432995778145315
215,PC4,1.0,0.01,10.0,0.1,10.0,1.0,0.8482456588056688
216,PC4,1.0,0.01,6.0,0.1,14.0,0.74,0.8369135167663165
217,PC4,4.0,0.0074638108484604065,12.0,0.33,8.0,0.28,0.7944509344215303
218,PC4,5.0,0.001,6.0,0.6,17.0,1.0,0.643690694049662
219,PC4,1.0,0.01,8.0,0.1,12.0,0.22,0.7014143463379483
220,PC4,1.0,0.009420054473892072,11.0,0.15,9.0,0.99,0.8551276390188658
221,PC4,1.0,0.008152205628909856,10.0,0.2,8.0,1.0,0.8631192098733972
222,PC4,1.0,0.01,12.0,0.1,7.0,1.0,0.8355993361333778
223,PC4,3.0,0.005452962964795183,9.0,0.6,9.0,1.0,0.8024908636313478
224,PC4,1.0,0.01,3.0,0.1,14.0,1.0,0.8640086780979443
225,PC4,1.0,0.0038568893391961296,1.0,0.34,13.0,0.24,0.0
226,PC4,1.0,0.009644253527411318,4.0,0.19,15.0,0.63,0.8343184956228092
227,PC4,1.0,0.01,11.0,0.1,8.0,0.22,0.7159629575913777
228,PC4,1.0,0.0026125318863076527,4.0,0.19,14.0,0.76,0.8318716525597909
229,PC4,1.0,0.005850887921884078,8.0,0.2,8.0,1.0,0.8726774916967546
230,PC4,2.0,0.008079441402153569,11.0,0.13,10.0,1.0,0.8598682785106827
231,PC4,1.0,0.005755079719753837,9.0,0.3,7.0,1.0,0.8446437501405276
232,PC4,2.0,0.005273864854562277,13.0,0.45,9.0,1.0,0.864070222778829
233,PC4,1.0,0.0017518515631764497,12.0,0.6,11.0,1.0,0.8508884783731221
234,PC4,2.0,0.001,12.0,0.6,7.0,1.0,0.8568498410014587
235,PC4,2.0,0.01,12.0,0.1,5.0,1.0,0.8413003620782943
236,PC4,2.0,0.004235938967325137,44.0,0.26,15.0,0.56,0.8316940653723693
237,PC4,3.0,0.001,46.0,0.39,13.0,0.52,0.8113691158303351
238,PC4,3.0,0.009821771359236408,42.0,0.12,14.0,0.39,0.8132784490389212
239,PC4,4.0,0.006881613519088463,2.0,0.12,16.0,0.99,0.8536511724713588
240,PC4,5.0,0.00685943802951762,11.0,0.1,12.0,1.0,0.8334044299621315
241,PC4,3.0,0.01,13.0,0.6,11.0,1.0,0.7846777241216801
242,PC4,1.0,0.009480377008425012,45.0,0.1,18.0,0.22,0.7364218224305004
243,PC4,4.0,0.001,14.0,0.1,6.0,1.0,0.8369135167663165
244,PC4,1.0,0.01,46.0,0.1,13.0,1.0,0.830592177330488
245,PC4,1.0,0.001,49.0,0.6,16.0,1.0,0.8293962196513646
246,PC4,4.0,0.006923205234749858,3.0,0.38,14.0,0.56,0.66324817107961
247,PC4,4.0,0.002556875238061881,1.0,0.16,16.0,0.47,0.0
248,PC4,1.0,0.006510910662885655,28.0,0.51,6.0,0.52,0.7939264325897434
249,PC4,1.0,0.00646779601487176,1.0,0.19,9.0,0.44,0.7385169442751028
250,CM1,4.0,0.007587945476302646,8.0,0.29,12.0,0.32,0.5424993599586598
251,CM1,4.0,0.00641003510568888,2.0,0.13,14.0,0.98,0.0
252,CM1,1.0,0.002636424704863906,15.0,0.52,4.0,0.62,0.6624868971450597
253,CM1,2.0,0.006506676052501416,15.0,0.32,3.0,0.49,0.6691101055381942
254,CM1,4.0,0.002797064039425238,30.0,0.33,10.0,0.24,0.4339738855430513
255,CM1,1.0,0.0015854643368675156,48.0,0.4,19.0,0.85,0.7399324293474371
256,CM1,1.0,0.007158097238609413,6.0,0.25,9.0,0.6,0.6734550220071618
257,CM1,4.0,0.0033290198344001526,16.0,0.12,13.0,0.62,0.6806859285554046
258,CM1,1.0,0.009726261649881027,47.0,0.37,15.0,0.92,0.7777728174445
259,CM1,4.0,0.0017964325184672756,3.0,0.4,4.0,0.46,0.0
260,CM1,2.0,0.008458637582367364,14.0,0.29,7.0,0.63,0.695671138781345
261,CM1,4.0,0.0016709557931179377,38.0,0.17,19.0,0.36,0.6582805886043833
262,CM1,4.0,0.007361716094628555,38.0,0.1,14.0,0.26,0.6354132513569417
263,CM1,1.0,0.008767930832880343,17.0,0.28,12.0,0.25,0.46368092477478523
264,CM1,2.0,0.007566455605042577,44.0,0.26,13.0,0.58,0.744983221287567
